"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Columbus State University","Columbus","GA",55.22,976,495,485,21,6715,17329,5613,15930,0.32,0.33,"Low","South","Large"
"Covenant College","Lookout Mountain","GA",96.64,1175,600,565,26,1066,40235,30160,30160,0.57,0.69,"High","South","Small"
"Emory University","Atlanta","GA",26.82,1366,670,700,31,7730,59908,45008,45008,0.89,0.91,"High","South","Large"
"Fort Valley State University","Fort Valley","GA",24.19,873,450,425,18,2172,20479,6448,18954,0.32,0.26,"Low","South","Medium"
"Georgia Institute of Technology-Main Campus","Atlanta","GA",33.38,1400,675,725,32,13996,23216,11394,30698,0.82,0.85,"High","South","Very Large"
"Georgia Southwestern State University","Americus","GA",69.64,970,490,480,21,2415,18420,5158,15163,0.32,0.26,"Low","South","Medium"
"Georgia College & State University","Milledgeville","GA",76.24,1132,570,565,25,5827,23731,8960,27308,0.61,0.66,"High","South","Large"
"Georgia Southern University","Statesboro","GA",63.1,1099,555,550,24,17232,21932,6170,16487,0.51,0.5,"Medium","South","Very Large"
"Georgia State University","Atlanta","GA",59.44,1055,535,535,22,24619,24377,8618,23186,0.53,0.53,"Medium","South","Very Large"
"University of Georgia","Athens","GA",55.72,1248,615,620,28,26738,21981,10836,29046,0.85,0.85,"High","South","Very Large"
"Kennesaw State University","Kennesaw","GA",53.45,1076,545,535,23,23058,21945,5912,15630,0.43,0.42,"Medium","South","Very Large"
"LaGrange College","Lagrange","GA",55.25,1035,520,520,22,874,39472,26620,26620,0.53,0.41,"Medium","South","Very Small"
"Mercer University","Macon","GA",66.72,1205,590,600,27,4418,47379,33780,33780,0.63,0.64,"High","South","Large"
"Morehouse College","Atlanta","GA",84.03,1004,500,500,22,2106,46258,26090,26090,0.53,0.55,"Medium","South","Medium"
"Oglethorpe University","Atlanta","GA",78.23,1139,580,555,25,1064,45158,32500,32500,0.51,0.47,"Medium","South","Small"
"Paine College","Augusta","GA",30,760,385,375,16,841,22884,13332,13332,0.18,0.16,"Low","South","Very Small"
"Piedmont University","Demorest","GA",57.55,968,480,475,21,1286,32397,21350,21350,0.5,0.5,"Medium","South","Small"
"Reinhardt University","Waleska","GA",90.02,975,500,493,20,1317,32794,19196,19196,0.38,0.37,"Low","South","Small"
"Savannah College of Art and Design","Savannah","GA",66.55,1081,545,520,24,8846,50774,34295,34295,0.65,0.65,"High","South","Large"
