"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","University of Colorado Denver/Anschutz Medical Campus","Denver","CO",72.99,1055,545,550,23,10786,19096,8500,22852,0.4,"Normal"
"2014_15","University of Colorado Colorado Springs","Colorado Springs","CO",92.4,1089,540,545,24,9310,18890,7462,17494,0.47,"Normal"
"2014_15","University of Colorado Boulder","Boulder","CO",84.16,1207,575,600,27,25873,28887,10789,33151,0.7,"Normal"
"2014_15","Colorado Christian University","Lakewood","CO",94.32,NA,NA,NA,NA,3657,38130,26430,26430,0.42,"Normal"
"2014_15","Colorado College","Colorado Springs","CO",17.9,NA,NA,NA,NA,2036,57400,46410,46410,0.86,"Normal"
"2014_15","The Art Institute of Colorado","Denver","CO",NA,NA,NA,NA,NA,1414,30736,17632,17632,0.28,"Normal"
"2014_15","Colorado School of Mines","Golden","CO",36.47,1333,635,680,30,4383,30154,16918,33598,0.76,"Normal"
"2014_15","Colorado State University-Fort Collins","Fort Collins","CO",80.48,1128,565,575,25,22373,22929,9897,26277,0.65,"Normal"
"2014_15","Colorado Technical University-Colorado Springs","Colorado Springs","CO",NA,NA,NA,NA,NA,1139,23765,11327,11327,0.28,"Normal"
"2014_15","University of Denver","Denver","CO",76.49,1231,595,610,28,5629,55476,42090,42090,0.76,"Normal"
"2014_15","Fort Lewis College","Durango","CO",90.82,1020,546,515,22,3609,21691,7252,17780,0.38,"Normal"
"2014_15","Colorado Mesa University","Grand Junction","CO",82.27,970,477,490,21,8413,18169,7116,17720,0.33,"Normal"
"2014_15","Metropolitan State University of Denver","Denver","CO",65.11,973,530,510,21,20583,14522,6070,18888,0.24,"Normal"
"2014_15","Naropa University","Boulder","CO",70.06,NA,NA,NA,NA,434,43638,29970,29970,0.39,"Normal"
"2014_15","National American University-Colorado Springs","Colorado Springs","CO",NA,NA,NA,NA,NA,253,19350,13071,13071,0.09,"Normal"
"2014_15","Nazarene Bible College","Colorado Springs","CO",NA,NA,NA,NA,NA,758,20430,11400,11400,0.17,"Normal"
"2014_15","University of Northern Colorado","Greeley","CO",70.88,1033,525,530,22,9104,19187,7733,19277,0.46,"Normal"
"2014_15","Regis University","Denver","CO",96.04,1108,540,530,25,4914,44191,33060,33060,0.61,"Normal"
"2014_15","Rocky Mountain College of Art and Design","Lakewood","CO",NA,NA,NA,NA,NA,1013,33945,19468,19468,0.48,"Normal"
"2014_15","Colorado State University Pueblo","Pueblo","CO",92.78,971,485,495,21,4227,17795,7834,18775,0.32,"Normal"
"2014_15","United States Air Force Academy","USAF Academy","CO",16.55,1324,635,665,30,3952,NA,NA,NA,0.84,"Normal"
"2014_15","Western Colorado University","Gunnison","CO",97.41,990,495,424,22,1936,19547,7874,18319,0.36,"Normal"
"2014_15","Yeshiva Toras Chaim Talmudical Seminary","Denver","CO",100,NA,NA,NA,NA,12,NA,8850,8850,0,"Normal"
"2014_15","Albertus Magnus College","New Haven","CT",NA,NA,NA,NA,NA,1249,42641,28930,28930,0.5,"Normal"
"2014_15","University of Bridgeport","Bridgeport","CT",60.72,899,450,450,19,3021,46680,29920,29920,0.3,"Normal"
"2014_15","Central Connecticut State University","New Britain","CT",60.44,1015,505,510,22,9600,20543,8877,20612,0.52,"Normal"
"2014_15","Charter Oak State College","New Britain","CT",NA,NA,NA,NA,NA,1799,NA,NA,NA,NA,"Normal"
"2014_15","Connecticut College","New London","CT",37.6,NA,NA,NA,NA,1875,60682,47740,47740,0.83,"Normal"
"2014_15","University of Connecticut","Storrs","CT",49.96,1246,600,640,28,18016,26966,12700,32880,0.81,"Normal"
"2014_15","Eastern Connecticut State University","Willimantic","CT",63.1,NA,NA,NA,NA,4793,23717,9560,21295,0.56,"Normal"
"2014_15","Fairfield University","Fairfield","CT",71.53,NA,NA,NA,NA,3841,57966,43770,43770,0.8,"Normal"
"2014_15","University of Hartford","West Hartford","CT",72.13,1000,495,500,22,4956,47114,35444,35444,0.53,"Normal"
"2014_15","Holy Apostles College and Seminary","Cromwell","CT",NA,NA,NA,NA,NA,58,NA,10870,10870,0,"Normal"
"2014_15","Lyme Academy College of Fine Arts","Old Lyme","CT",NA,NA,NA,NA,NA,0,39873,30456,30456,0.82,"Normal"
"2014_15","Mitchell College","New London","CT",70.04,NA,NA,NA,NA,710,44994,30012,30012,0.46,"Normal"
"2014_15","University of New Haven","West Haven","CT",80.86,1063,520,535,24,4974,49390,34630,34630,0.5,"Normal"
"2014_15","Paier College of Art Inc","Hamden","CT",NA,NA,NA,NA,NA,112,18510,14360,14360,0.62,"Normal"
