,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
1447,2016_17,College of the Atlantic,Bar Harbor,ME,Bachelor's,NO,64.74,,,,,332.0,66.87,0.9,4.82,2.71,53196.0,43542.0,43542.0,0.65
1448,2016_17,Bates College,Lewiston,ME,Bachelor's,NO,22.65,,,,,1780.0,69.83,5.79,8.65,4.21,64590.0,50310.0,50310.0,0.88
1450,2016_17,Bowdoin College,Brunswick,ME,Bachelor's,NO,14.84,,,,,1799.0,64.37,6.11,10.67,6.11,63440.0,49900.0,49900.0,0.94
1453,2016_17,Colby College,Waterville,ME,Bachelor's,NO,18.71,1383.0,678.0,693.0,32.0,1879.0,61.79,3.73,7.03,5.96,63330.0,50960.0,50960.0,0.89
1457,2016_17,University of Maine at Augusta,Augusta,ME,Bachelor's,NO,,,,,,3632.0,87.17,1.16,1.6,0.61,14613.0,7448.0,17048.0,0.12
1458,2016_17,University of Maine at Farmington,Farmington,ME,Bachelor's,NO,80.43,,,,,1753.0,88.13,2.22,1.65,0.8,21538.0,8695.0,17215.0,0.56
1459,2016_17,University of Maine at Fort Kent,Fort Kent,ME,Bachelor's,NO,81.5,890.0,450.0,438.0,19.0,1076.0,76.21,3.72,2.23,0.84,18248.0,7575.0,11205.0,0.35
1460,2016_17,University of Maine at Machias,Machias,ME,Bachelor's,NO,,,,,,560.0,78.75,3.21,6.79,0.18,17770.0,7530.0,19350.0,0.29
1461,2016_17,University of Maine,Orono,ME,Bachelor's,NO,89.75,1073.0,530.0,540.0,24.0,8757.0,83.68,2.08,3.15,1.66,22904.0,10628.0,29498.0,0.59
1462,2016_17,Maine Maritime Academy,Castine,ME,Bachelor's,NO,75.51,1042.0,505.0,530.0,23.0,1014.0,87.97,0.99,1.68,1.18,26445.0,13078.0,26158.0,0.62
1463,2016_17,University of Maine at Presque Isle,Presque Isle,ME,Bachelor's,NO,86.72,,,,,790.0,79.37,2.53,1.77,0.63,16754.0,7436.0,11066.0,0.38
1464,2016_17,University of New England,Biddeford,ME,Bachelor's,NO,83.06,1055.0,520.0,525.0,24.0,2370.0,82.74,1.27,0.13,3.54,51270.0,35630.0,35630.0,0.58
